Starling ID,Headwords,Gloss,review_tier,chosen_abbr,chosen_field,llm_second,second_field,v1_choice,v1_field,v2_choice,v2_field,agrees_v1,agrees_v2
PDR561,*jēn-,elephant,1-all-three-agree,AN_EL,Animals — Elephant,AN_AN,Animals — Animal,AN_EL,Animals — Elephant,AN_EL,Animals — Elephant,YES,YES
PDR562,*joḷǯ-,bear,1-all-three-agree,AN_BR,Animals — Bear,AN_AN,Animals — Animal,AN_BR,Animals — Bear,AN_BR,Animals — Bear,YES,YES
PDR563,*jōḍ-,goat,1-all-three-agree,AN_GO,Animals — Goat,AN_SH,Animals — Sheep,AN_GO,Animals — Goat,AN_GO,Animals — Goat,YES,YES
PDR564,*jōẓ-,seven,2-llm-plus-one,QN_NN,Quantity & Number — Numerals,QN_QN,"Quantity & Number — Amount, Quantity",QN_NN,Quantity & Number — Numerals,QN_TH,Quantity & Number — Three,YES,
PDR565,*kabb-,to bite; to swallow,1-all-three-agree,BP_BI,Body Parts & Functions — to Bite,FD_EA,Food & Drink — to Eat,BP_BI,Body Parts & Functions — to Bite,BP_BI,Body Parts & Functions — to Bite,YES,YES
PDR566,*kac-,"angry, hostile",1-all-three-agree,EM_AG,Emotion — Anger,SO_SQ,"Social Relations — Strife, Quarrel",EM_AG,Emotion — Anger,EM_AG,Emotion — Anger,YES,YES
PDR567,*kac-,"to bite, sting",1-all-three-agree,BP_BI,Body Parts & Functions — to Bite,SP_HE,Sense Perception — to Hear,BP_BI,Body Parts & Functions — to Bite,BP_BI,Body Parts & Functions — to Bite,YES,YES
PDR568,*kaḍ-,"1 bitter; sharp 2 severe, cruel 3 exceeding, great",2-llm-plus-one,SP_BI,Sense Perception — Bitter,SP_SP,Sense Perception — Sharp,EM_GS,"Emotion — Grief, Sorrow",SP_BI,Sense Perception — Bitter,,YES
PDR569,*kaḍ-,to churn,3-llm-alone,FD_CO,Food & Drink — to Cook,,,FD_KD,Food & Drink — to Knead,FD_KD,Food & Drink — to Knead,,
PDR570,*kaḍ- (?),"belly, womb",3-llm-alone,BP_BS,"Body Parts & Functions — Belly, Stomach",BP_WO,Body Parts & Functions — Womb,BP_WO,Body Parts & Functions — Womb,BP_WO,Body Parts & Functions — Womb,,
PDR571,*kaḍal-,sea,1-all-three-agree,PW_SE,Physical World — Sea,PW_WA,Physical World — Water,PW_SE,Physical World — Sea,PW_SE,Physical World — Sea,YES,YES
PDR572,*kadd-/*kad-al-,"to shake, stir",1-all-three-agree,MO_SH,Motion & Transportation — to Shake,MO_BL,Motion & Transportation — to Blow,MO_SH,Motion & Transportation — to Shake,MO_SH,Motion & Transportation — to Shake,YES,YES
PDR573,*kaḍ[i]-,bridle,3-llm-alone,MO_RD,Motion & Transportation — to Ride,PA_TO,Physical Acts & Materials — Tool,TI_AU,Time — Autumn,MO_BR,Motion & Transportation — Bridge,,
PDR574,*kadir-,spindle,1-all-three-agree,CA_SP,Clothing & Adornment — Spindle,PA_TO,Physical Acts & Materials — Tool,CA_SP,Clothing & Adornment — Spindle,CA_SP,Clothing & Adornment — Spindle,YES,YES
PDR575,*kaḍj-,panther; tiger,3-llm-alone,AN_AN,Animals — Animal,AN_LI,Animals — Livestock,AN_LN,Animals — Lion,AN_LN,Animals — Lion,,
PDR576,*kaḍ-Vnḍ-,hornet,3-llm-alone,AN_IN,Animals — Insect,AN_SK,Animals — Snake,AN_BE,Animals — Bee,AN_BE,Animals — Bee,,
PDR577,*kaḏ- (*-ṟ-),to chew,2-llm-plus-one,BP_BI,Body Parts & Functions — to Bite,FD_EA,Food & Drink — to Eat,BP_BI,Body Parts & Functions — to Bite,FD_SU,"Food & Drink — to Suck, Suckle",YES,
PDR578,*kaɣ-,hand,1-all-three-agree,BP_HN,Body Parts & Functions — Hand,BP_AR,Body Parts & Functions — Arm,BP_HN,Body Parts & Functions — Hand,BP_HN,Body Parts & Functions — Hand,YES,YES
PDR579,*kaj-,a k. of fish,1-all-three-agree,AN_FI,Animals — Fish (n),FD_FD,Food & Drink — Food,AN_FI,Animals — Fish (n),AN_FI,Animals — Fish (n),YES,YES
PDR580,*kajd-,a k. of flower,1-all-three-agree,AV_FL,Agriculture & Vegetation — Flower,AV_TR,Agriculture & Vegetation — Tree (generic),AV_FL,Agriculture & Vegetation — Flower,AV_FL,Agriculture & Vegetation — Flower,YES,YES
PDR581,*kajil-,ladle,2-llm-plus-one,FD_SP,Food & Drink — Spoon,FD_DI,Food & Drink — Dish,FD_ML,Food & Drink — Mill,FD_SP,Food & Drink — Spoon,,YES
PDR582,*kajiṟ-,"rope, string",1-all-three-agree,PA_RC,"Physical Acts & Materials — Rope, Cord",PA_BO,Physical Acts & Materials — Bond (n),PA_RC,"Physical Acts & Materials — Rope, Cord",PA_RC,"Physical Acts & Materials — Rope, Cord",YES,YES
PDR583,*kak-,to vomit,1-all-three-agree,BP_VO,Body Parts & Functions — to Vomit,BP_CO,Body Parts & Functions — to Cough,BP_VO,Body Parts & Functions — to Vomit,BP_VO,Body Parts & Functions — to Vomit,YES,YES
PDR584,*kak-,shell,3-llm-alone,AN_IN,Animals — Insect,PW_SR,"Physical World — Rock, Stone",AN_PI,Animals — Pig,FD_DI,Food & Drink — Dish,,
PDR585,*kal-,"1 to get, accrue 2 to exist",3-llm-alone,MO_GO,Motion & Transportation — to Go,PT_GO,"Possession & Trade — to Get, Obtain",PT_GO,"Possession & Trade — to Get, Obtain",PT_GO,"Possession & Trade — to Get, Obtain",,
PDR586,*kal-,to stir; turbid,3-llm-alone,MO_SH,Motion & Transportation — to Shake,FD_MX,"Food & Drink — to Mix, Blend",FD_BO,Food & Drink — to Boil (trans,FD_KD,Food & Drink — to Knead,,
PDR587,*kal-,"to shout, make noise",3-llm-alone,PW_TH,"Physical World — Noise, Thunder",LM_SC,"Language & Music — to Shout, Cry Out",LM_SC,"Language & Music — to Shout, Cry Out",LM_SC,"Language & Music — to Shout, Cry Out",,
PDR588,*kàl-,"vessel; ship, boat",3-llm-alone,FD_PO,Food & Drink — Pot,MO_SP,Motion & Transportation — Ship,MO_SP,Motion & Transportation — Ship,MO_SP,Motion & Transportation — Ship,,
PDR589,*kal-,stone,1-all-three-agree,PW_SR,"Physical World — Rock, Stone",PA_NA,"Physical Acts & Materials — Nail, Peg",PW_SR,"Physical World — Rock, Stone",PW_SR,"Physical World — Rock, Stone",YES,YES
PDR590,*kaḷ-,liquor,2-llm-plus-one,FD_WI,Food & Drink — Wine,FD_DR,Food & Drink — to Drink,FD_BB,Food & Drink — Beer,FD_WI,Food & Drink — Wine,,YES
PDR591,*kaḷ-,threshing floor,1-all-three-agree,AV_TF,Agriculture & Vegetation — Threshing-Floor,PW_PF,"Physical World — Plain, Field",AV_TF,Agriculture & Vegetation — Threshing-Floor,AV_TF,Agriculture & Vegetation — Threshing-Floor,YES,YES
PDR592,*kaḷ-,to steal; thief,2-llm-plus-one,PT_ST,Possession & Trade — to Steal,EM_DC,Emotion — Deceit,PT_TH,Possession & Trade — Thief,PT_ST,Possession & Trade — to Steal,,YES
PDR593,*kaḷ-,to uproot (weeds); to strip,3-llm-alone,AV_DI,"Agriculture & Vegetation — to Dig, Delve",AV_HO,Agriculture & Vegetation — Hoe (n),AV_RO,Agriculture & Vegetation — Root,AV_SS,Agriculture & Vegetation — to Sow; Seed,,
PDR594,*kal-,female relative,3-llm-alone,MK_AU,Mankind — Aunt,MK_RE,Mankind — Relative(s),MK_GM,Mankind — Grandmother,MK_SW,Mankind — Sister-in-Law,,
PDR595,*kàl-,"mark, scar",3-llm-alone,BP_SH,"Body Parts & Functions — Skin, Hide",BP_HA,Body Parts & Functions — Hair,WH_SH,Warfare & Hunting — Shield,CA_NE,Clothing & Adornment — Needle,,
PDR596,*kal- (*k̂-),to bite,1-all-three-agree,BP_BI,Body Parts & Functions — to Bite,PA_TE,Physical Acts & Materials — to Tear,BP_BI,Body Parts & Functions — to Bite,BP_BI,Body Parts & Functions — to Bite,YES,YES
PDR597,*kal-(aj-),to be mixed,1-all-three-agree,FD_MX,"Food & Drink — to Mix, Blend",PA_BI,Physical Acts & Materials — to Bind,FD_MX,"Food & Drink — to Mix, Blend",FD_MX,"Food & Drink — to Mix, Blend",YES,YES
PDR598,*kaḷ-i,milk-hedge (spurge),3-llm-alone,AV_PN,"Agriculture & Vegetation — Plant, Herb",AV_TR,Agriculture & Vegetation — Tree (generic),AN_PS,Animals — Pasture,AN_PS,Animals — Pasture,,
PDR599,*kaḻ-,to learn,1-all-three-agree,MT_LE,Mind & Thought — to Learn,MT_ST,Mind & Thought — to Study,MT_LE,Mind & Thought — to Learn,MT_LE,Mind & Thought — to Learn,YES,YES
PSD550,*kaḻ-,to learn,1-all-three-agree,MT_LE,Mind & Thought — to Learn,MT_ST,Mind & Thought — to Study,MT_LE,Mind & Thought — to Learn,MT_LE,Mind & Thought — to Learn,YES,YES
PDR600,*kam-,ear-ring,3-llm-alone,CA_AD,Clothing & Adornment — Adornment (personal),CA_JW,"Clothing & Adornment — Gem, Jewel",CA_FR,Clothing & Adornment — Finger Ring,CA_FR,Clothing & Adornment — Finger Ring,,
PDR601,*kamb-i,wire,3-llm-alone,PA_CO,"Physical Acts & Materials — Copper, Bronze",PA_GO,Physical Acts & Materials — Gold,PA_RC,"Physical Acts & Materials — Rope, Cord",PA_RC,"Physical Acts & Materials — Rope, Cord",,
PDR602,*kamp-,a smell,3-llm-alone,SP_VO,Sense Perception — to Smell (obj),SP_VS,Sense Perception — to Smell (subj),SP_BD,"Sense Perception — Stinking, Bad Smelling",SP_BD,"Sense Perception — Stinking, Bad Smelling",,
PDR603,*kan-,angry; to burn,1-all-three-agree,EM_AG,Emotion — Anger,PW_FI,Physical World — Fire (n),EM_AG,Emotion — Anger,EM_AG,Emotion — Anger,YES,YES
PDR604,*kaṇ-,eye,1-all-three-agree,BP_EY,Body Parts & Functions — Eye,SR_HL,Spatial Relations — Hole,BP_EY,Body Parts & Functions — Eye,BP_EY,Body Parts & Functions — Eye,YES,YES
PDR605,*kaṇ-,"rope, neck-rope, necklace",3-llm-alone,PA_RC,"Physical Acts & Materials — Rope, Cord",CA_NC,Clothing & Adornment — Necklace,CA_NC,Clothing & Adornment — Necklace,CA_NC,Clothing & Adornment — Necklace,,
PDR606,*kaṇ-,"knife, blade",3-llm-alone,PA_KF,Physical Acts & Materials — Knife (tool),AV_SI,"Agriculture & Vegetation — Scythe, Sickle",FD_KN,Food & Drink — Knife,FD_KN,Food & Drink — Knife,,
PDR607,*kan-,to sound,3-llm-alone,SP_SO,Sense Perception — Sound (n),SP_HE,Sense Perception — to Hear,LM_ST,"Language & Music — to Speak, Talk",SP_HE,Sense Perception — to Hear,,
PDR608,*kan-,"ripe, soft; to love, pity",2-llm-plus-one,EM_PT,Emotion — Pity (n),SR_GW,Spatial Relations — to Grow,EM_PT,Emotion — Pity (n),FD_FR,Food & Drink — Fruit,YES,
PDR609,*kaṇav-,"mountain pass; gap, opening",3-llm-alone,PW_VA,"Physical World — Dale, Valley",SR_CN,"Spatial Relations — Angle, Corner",PW_MH,"Physical World — Hill, Mountain",PW_MH,"Physical World — Hill, Mountain",,
PDR610,*kand-,"trench, ditch",3-llm-alone,SR_HL,Spatial Relations — Hole,DF_FP,"Dwellings & Furniture — Hearth, Fireplace",WH_RT,Warfare & Hunting — Retreat (n),AV_DI,"Agriculture & Vegetation — to Dig, Delve",,
PDR611,*kanḍ-,piece of flesh,1-all-three-agree,BP_FL,Body Parts & Functions — Flesh,FD_ME,Food & Drink — Meat,BP_FL,Body Parts & Functions — Flesh,BP_FL,Body Parts & Functions — Flesh,YES,YES
PDR612,*kanḏ-,"scorched, burnt; black",1-all-three-agree,PW_BU,"Physical World — to Burn, Scorch",SP_DC,Sense Perception — Dark in Color,PW_BU,"Physical World — to Burn, Scorch",PW_BU,"Physical World — to Burn, Scorch",YES,YES
PDR613,*kaṇ-ik-,stick; timber,2-llm-plus-one,PW_WD,"Physical World — Wood, Timber",AV_PN,"Agriculture & Vegetation — Plant, Herb",PW_WD,"Physical World — Wood, Timber",PW_MT,"Physical World — Match, Fire Stick",YES,
PDR614,*kanṟ-,sapling,3-llm-alone,AN_CF,Animals — Calf,AV_TR,Agriculture & Vegetation — Tree (generic),AN_MU,Animals — Mule,AV_TR,Agriculture & Vegetation — Tree (generic),,
PDR615,*kant-,"to set, sink",1-all-three-agree,MO_SI,Motion & Transportation — to Sink,MO_FA,Motion & Transportation — to Fall,MO_SI,Motion & Transportation — to Sink,MO_SI,Motion & Transportation — to Sink,YES,YES
PDR616,*kaṉ-,to dream,1-all-three-agree,BP_DR,Body Parts & Functions — Dream (n),BP_SL,Body Parts & Functions — to Sleep; Sleep,BP_DR,Body Parts & Functions — Dream (n),BP_DR,Body Parts & Functions — Dream (n),YES,YES
PDR617,*kap-,frog,3-llm-alone,AN_AN,Animals — Animal,AN_IN,Animals — Insect,AN_SK,Animals — Snake,AN_PI,Animals — Pig,,
PDR618,*kaP-,1 butterfly; cricket 2 bat,1-all-three-agree,AN_IN,Animals — Insect,AN_BI,Animals — Bird,AN_IN,Animals — Insect,AN_IN,Animals — Insect,YES,YES
PDR619,*kap-,to cover,2-llm-plus-one,SR_CO,Spatial Relations — to Cover,MO_FL,Motion & Transportation — to Flow,CA_VE,Clothing & Adornment — Veil,SR_CO,Spatial Relations — to Cover,,YES
PDR620,*kap-,tribute,3-llm-alone,PT_TX,Possession & Trade — Tax (n),PT_IN,Possession & Trade — Income,EM_GL,"Emotion — Fame, Glory",CA_VE,Clothing & Adornment — Veil,,
PDR621,*kaP-,"to bend, turn over",3-llm-alone,MO_TU,Motion & Transportation — to Turn,SR_PU,"Spatial Relations — to Put, Place, Set, Lay",PA_BN,Physical Acts & Materials — to Bend,PA_BN,Physical Acts & Materials — to Bend,,
PDR622,*kapal-,ship,1-all-three-agree,MO_SP,Motion & Transportation — Ship,MO_BT,Motion & Transportation — Boat,MO_SP,Motion & Transportation — Ship,MO_SP,Motion & Transportation — Ship,YES,YES
PDR623,*kar-,to melt,3-llm-alone,MO_FL,Motion & Transportation — to Flow,EM_PT,Emotion — Pity (n),PA_RU,Physical Acts & Materials — to Rub,PA_PO,Physical Acts & Materials — to Pour,,
PDR624,*kar-,to sound,3-llm-alone,SP_SO,Sense Perception — Sound (n),LM_VC,Language & Music — Various Cries,LM_ST,"Language & Music — to Speak, Talk",SP_HE,Sense Perception — to Hear,,
PDR625,*kar-,1 black 2 to burn,1-all-three-agree,PW_BU,"Physical World — to Burn, Scorch",SP_BK,Sense Perception — Black,PW_BU,"Physical World — to Burn, Scorch",PW_BU,"Physical World — to Burn, Scorch",YES,YES
PDR626,*kar-,"1 bank 2 bridge, border",3-llm-alone,PW_SH,"Physical World — Shore, Beach",PW_ML,"Physical World — Mainland, Continent",PT_BA,Possession & Trade — Bank,MO_BR,Motion & Transportation — Bridge,,
PDR627,*kar-,mould,1-all-three-agree,PA_MD,"Physical Acts & Materials — to Mold, Form",SR_FS,"Spatial Relations — Form, Shape (n)",PA_MD,"Physical Acts & Materials — to Mold, Form",PA_MD,"Physical Acts & Materials — to Mold, Form",YES,YES
PDR628,*kar-,rough,1-all-three-agree,SP_RG,Sense Perception — Rough,EM_BD,Emotion — Bad,SP_RG,Sense Perception — Rough,SP_RG,Sense Perception — Rough,YES,YES
PDR629,*kar-,"to intend, desire",3-llm-alone,MT_IP,"Mind & Thought — Purpose, Intention",MT_TR,"Mind & Thought — to Think, Reflect",EM_DE,Emotion — to Desire,EM_DE,Emotion — to Desire,,
PDR630,*Kar-,cartilage,2-llm-plus-one,BP_BN,Body Parts & Functions — Bone,BP_BO,Body Parts & Functions — Body,BP_KN,Body Parts & Functions — Knee,BP_BN,Body Parts & Functions — Bone,,YES
PDR631,*kar- (*-ṟ-?),"to hide, steal; to deceive",2-llm-plus-one,PT_ST,Possession & Trade — to Steal,SR_HC,"Spatial Relations — to Hide, Conceal",PT_TH,Possession & Trade — Thief,PT_ST,Possession & Trade — to Steal,,YES
PDR632,*karaḍ-i,black bear,1-all-three-agree,AN_BR,Animals — Bear,AN_AN,Animals — Animal,AN_BR,Animals — Bear,AN_BR,Animals — Bear,YES,YES
PDR633,*karaḷ-,intestines,3-llm-alone,BP_BS,"Body Parts & Functions — Belly, Stomach",BP_HR,Body Parts & Functions — Heart,BP_NV,Body Parts & Functions — Navel,BP_NV,Body Parts & Functions — Navel,,
PDR634,*karb-,"egg, foetus",1-all-three-agree,BP_EG,Body Parts & Functions — Egg,BP_BO,Body Parts & Functions — Body,BP_EG,Body Parts & Functions — Egg,BP_EG,Body Parts & Functions — Egg,YES,YES
PDR635,*kaṟ-,"stick, shaft, tooth",3-llm-alone,PW_WD,"Physical World — Wood, Timber",BP_TO,Body Parts & Functions — Tooth,BP_TO,Body Parts & Functions — Tooth,BP_TO,Body Parts & Functions — Tooth,,
PDR636,*kaṟ-,"anger, enmity",1-all-three-agree,EM_AG,Emotion — Anger,SO_EN,"Social Relations — Foe, Enemy",EM_AG,Emotion — Anger,EM_AG,Emotion — Anger,YES,YES
PDR637,*kaṟ- (*-ḏ-),black,1-all-three-agree,SP_BK,Sense Perception — Black,SP_CO,Sense Perception — Color,SP_BK,Sense Perception — Black,SP_BK,Sense Perception — Black,YES,YES
PDR638,*kaṟ- (*-ḏ-),vegetables,1-all-three-agree,FD_VE,Food & Drink — Vegetables,FD_FD,Food & Drink — Food,FD_VE,Food & Drink — Vegetables,FD_VE,Food & Drink — Vegetables,YES,YES
PDR639,*kaṟ-nḍ-,a k. of cloth,1-all-three-agree,CA_CL,Clothing & Adornment — Cloth,CA_CC,"Clothing & Adornment — Clothes, Clothing",CA_CL,Clothing & Adornment — Cloth,CA_CL,Clothing & Adornment — Cloth,YES,YES
PDR640,*kaṟv-,hunger,1-all-three-agree,FD_HU,Food & Drink — Hunger (n),FD_FD,Food & Drink — Food,FD_HU,Food & Drink — Hunger (n),FD_HU,Food & Drink — Hunger (n),YES,YES
PDR641,*kas-,bitter,1-all-three-agree,SP_BI,Sense Perception — Bitter,FD_FD,Food & Drink — Food,SP_BI,Sense Perception — Bitter,SP_BI,Sense Perception — Bitter,YES,YES
PDR642,*kaṬ-,to cut to pieces,1-all-three-agree,PA_CU,Physical Acts & Materials — to Cut,SR_DI,Spatial Relations — to Divide,PA_CU,Physical Acts & Materials — to Cut,PA_CU,Physical Acts & Materials — to Cut,YES,YES
PDR643,*kat-,1 to cut down 2 knife,3-llm-alone,PA_KF,Physical Acts & Materials — Knife (tool),PA_CU,Physical Acts & Materials — to Cut,FD_KN,Food & Drink — Knife,FD_KN,Food & Drink — Knife,,
PDR644,*kaT-,to seize,1-all-three-agree,PT_SG,"Possession & Trade — to Grasp, Seize, Take Hold of",PT_ST,Possession & Trade — to Steal,PT_SG,"Possession & Trade — to Grasp, Seize, Take Hold of",PT_SG,"Possession & Trade — to Grasp, Seize, Take Hold of",YES,YES
PDR645,*kat- (?),to burn,1-all-three-agree,PW_BU,"Physical World — to Burn, Scorch",PW_LK,"Physical World — to Light, Kindle",PW_BU,"Physical World — to Burn, Scorch",PW_BU,"Physical World — to Burn, Scorch",YES,YES
PDR646,*kaṯ-kāj,chebulic myrobalan,3-llm-alone,FD_FR,Food & Drink — Fruit,FD_VE,Food & Drink — Vegetables,FD_GP,Food & Drink — Grape,FD_MF,"Food & Drink — Meal, Flour",,
PDR647,*kaṭ-,1 to shut 2 to tie up,3-llm-alone,PA_BI,Physical Acts & Materials — to Bind,SR_SH,"Spatial Relations — to Shut, Close",TI_FI,Time — to Finish,SR_SH,"Spatial Relations — to Shut, Close",,
PDR648,*kaṭ-,to pay,1-all-three-agree,PT_PA,Possession & Trade — to Pay,PT_OP,"Possession & Trade — to Own, Possess",PT_PA,Possession & Trade — to Pay,PT_PA,Possession & Trade — to Pay,YES,YES
PDR649,*kaṭ-,"soup, decoction",1-all-three-agree,FD_SB,"Food & Drink — Soup, Broth",FD_FD,Food & Drink — Food,FD_SB,"Food & Drink — Soup, Broth",FD_SB,"Food & Drink — Soup, Broth",YES,YES
PDR650,*kaṭil-,cot; litter; bed,1-all-three-agree,DF_BD,Dwellings & Furniture — Bed,DF_FR,Dwellings & Furniture — Furniture,DF_BD,Dwellings & Furniture — Bed,DF_BD,Dwellings & Furniture — Bed,YES,YES
PDR651,*kav-,to catch,2-llm-plus-one,PT_SG,"Possession & Trade — to Grasp, Seize, Take Hold of",PT_TA,Possession & Trade — to Take,AN_HU,Animals — to Hunt,PT_SG,"Possession & Trade — to Grasp, Seize, Take Hold of",,YES
PDR652,*kav- (*k̂-),1 to curse 2 scandal,1-all-three-agree,RB_CU,Religion & Beliefs — to Curse,LM_SC,"Language & Music — to Shout, Cry Out",RB_CU,Religion & Beliefs — to Curse,RB_CU,Religion & Beliefs — to Curse,YES,YES
PDR653,*kavŋ-,armpit,3-llm-alone,BP_AR,Body Parts & Functions — Arm,BP_FC,Body Parts & Functions — Front of Chest,CA_BR,"Clothing & Adornment — Armband, Bracelet",BP_FC,Body Parts & Functions — Front of Chest,,
PDR654,*kaẓ-,to wash,1-all-three-agree,PA_WA,Physical Acts & Materials — to Wash,SP_CN,"Sense Perception — Pure, Clean",PA_WA,Physical Acts & Materials — to Wash,PA_WA,Physical Acts & Materials — to Wash,YES,YES
PDR655,*kaẓ-,vulture,1-all-three-agree,AN_BI,Animals — Bird,AN_AN,Animals — Animal,AN_BI,Animals — Bird,AN_BI,Animals — Bird,YES,YES
PDR656,*kaẓ-[al-],to loosen; loose,3-llm-alone,PA_BK,Physical Acts & Materials — to Break,MO_FL,Motion & Transportation — to Flow,BP_FB,"Body Parts & Functions — to Fart, Break Wind",PA_SO,"Physical Acts & Materials — to Strew, Spread Out",,
PDR657,*kaẓ-[c-],1 to defecate 2 to pass,1-all-three-agree,BP_ED,"Body Parts & Functions — to Void Excrement; Dung, Excrement",MO_GO,Motion & Transportation — to Go,BP_ED,"Body Parts & Functions — to Void Excrement; Dung, Excrement",BP_ED,"Body Parts & Functions — to Void Excrement; Dung, Excrement",YES,YES
PDR658,*kaẓd-,neck,1-all-three-agree,BP_NK,Body Parts & Functions — Neck,BP_TR,Body Parts & Functions — Throat,BP_NK,Body Parts & Functions — Neck,BP_NK,Body Parts & Functions — Neck,YES,YES
PDR659,*kaǯ- (?),big,2-llm-plus-one,SR_XL,"Spatial Relations — Big, Large, Great",SR_SZ,Spatial Relations — Size (n),SR_SZ,Spatial Relations — Size (n),SR_XL,"Spatial Relations — Big, Large, Great",,YES
PDR660,*kaǯǯ-,"1 scab, itch 2 to scratch",2-llm-plus-one,BP_BI,Body Parts & Functions — to Bite,SP_RG,Sense Perception — Rough,BP_BI,Body Parts & Functions — to Bite,BP_NA,"Body Parts & Functions — Nail, Claw",YES,
PDR661,*kā-,to wait; to watch out,3-llm-alone,SR_RM,"Spatial Relations — to Stay, Wait, Remain",SO_HA,"Social Relations — to Help, Aid",TI_DE,Time — to Delay,TI_DE,Time — to Delay,,
PDR662,*kāc-,"catechu, areca-nut",3-llm-alone,FD_VE,Food & Drink — Vegetables,FD_FD,Food & Drink — Food,AN_CT,Animals — Cat,FD_NT,Food & Drink — Nut,,
PDR663,*kāḍ-,weed,3-llm-alone,AV_PN,"Agriculture & Vegetation — Plant, Herb",AV_GR,Agriculture & Vegetation — Grass,FD_PO,Food & Drink — Pot,FD_PO,Food & Drink — Pot,,
PDR664,*kāḍ-,"burnt, charred; lampblack",2-llm-plus-one,PW_BU,"Physical World — to Burn, Scorch",PW_AS,Physical World — Ash(es),LJ_AR,Law & Judgment — Arson,PW_BU,"Physical World — to Burn, Scorch",,YES
PDR665,*kāḍ-,field; forest,3-llm-alone,AV_FC,Agriculture & Vegetation — Field for Cultivation,PW_WF,"Physical World — Woods, Forest",PW_WF,"Physical World — Woods, Forest",PW_PF,"Physical World — Plain, Field",,
PDR666,*kād-,"to fight, kill",1-all-three-agree,WH_FI,Warfare & Hunting — to Fight,BP_KI,Body Parts & Functions — to Kill,WH_FI,Warfare & Hunting — to Fight,WH_FI,Warfare & Hunting — to Fight,YES,YES
PDR667,*kād- (?),ear,1-all-three-agree,BP_EA,Body Parts & Functions — Ear,BP_BO,Body Parts & Functions — Body,BP_EA,Body Parts & Functions — Ear,BP_EA,Body Parts & Functions — Ear,YES,YES
PDR668,*kāj-,fruit; bear fruit,3-llm-alone,AV_FL,Agriculture & Vegetation — Flower,FD_FR,Food & Drink — Fruit,FD_FR,Food & Drink — Fruit,FD_FR,Food & Drink — Fruit,,
PDR669,*kāj-,to be hot; dry,3-llm-alone,SP_HW,"Sense Perception — Hot, Warm",PW_FI,Physical World — Fire (n),PA_WA,Physical Acts & Materials — to Wash,EM_DE,Emotion — to Desire,,
PDR670,*kāk-,crow,2-llm-plus-one,AN_BI,Animals — Bird,AN_AN,Animals — Animal,AN_BI,Animals — Bird,AN_CK,"Animals — Cock, Rooster",YES,
PDR671,*kāk-,suffering; fatigue; badness,1-all-three-agree,EM_PS,"Emotion — Pain, Suffering",PA_WS,"Physical Acts & Materials — Work, Labor",EM_PS,"Emotion — Pain, Suffering",EM_PS,"Emotion — Pain, Suffering",YES,YES
PDR672,*kāl-,"leg, foot",2-llm-plus-one,BP_LE,Body Parts & Functions — Leg,BP_FT,Body Parts & Functions — Foot,BP_FT,Body Parts & Functions — Foot,BP_LE,Body Parts & Functions — Leg,,YES
PDR673,*kāl-,"canal, channel",2-llm-plus-one,PW_RS,"Physical World — Brook, Stream, River",AV_FC,Agriculture & Vegetation — Field for Cultivation,MO_HP,"Motion & Transportation — Port, Harbor",PW_RS,"Physical World — Brook, Stream, River",,YES
PDR674,*kāḷ-,to burn,1-all-three-agree,PW_BU,"Physical World — to Burn, Scorch",PW_FL,Physical World — Flame (n),PW_BU,"Physical World — to Burn, Scorch",PW_BU,"Physical World — to Burn, Scorch",YES,YES
PDR675,*kālēj- (?),liver,1-all-three-agree,BP_LV,Body Parts & Functions — Liver,BP_BO,Body Parts & Functions — Body,BP_LV,Body Parts & Functions — Liver,BP_LV,Body Parts & Functions — Liver,YES,YES
PDR676,*kālṯ- (?),wind,1-all-three-agree,PW_WI,"Physical World — Wind, Breeze",PW_AI,"Physical World — Air, Ether",PW_WI,"Physical World — Wind, Breeze",PW_WI,"Physical World — Wind, Breeze",YES,YES
PDR677,*kāḻ-,"to leak, flow",1-all-three-agree,MO_FL,Motion & Transportation — to Flow,PW_RS,"Physical World — Brook, Stream, River",MO_FL,Motion & Transportation — to Flow,MO_FL,Motion & Transportation — to Flow,YES,YES
PDR678,*kāḻ-,to spit; to vomit,3-llm-alone,BP_VO,Body Parts & Functions — to Vomit,BP_SP,Body Parts & Functions — to Spit,BP_SP,Body Parts & Functions — to Spit,BP_SP,Body Parts & Functions — to Spit,,
PDR679,*kāmb-,1 stalk 2 handle,3-llm-alone,AV_PN,"Agriculture & Vegetation — Plant, Herb",PA_TO,Physical Acts & Materials — Tool,WH_SP,Warfare & Hunting — Spear,AV_SH,Agriculture & Vegetation — Shovel (n),,
PDR680,*kān-,forest,1-all-three-agree,PW_WF,"Physical World — Woods, Forest",AV_GA,"Agriculture & Vegetation — Garden, Orchard",PW_WF,"Physical World — Woods, Forest",PW_WF,"Physical World — Woods, Forest",YES,YES
PDR681,*kāṇ-,to see,2-llm-plus-one,SP_SE,Sense Perception — to See,MT_UN,Mind & Thought — to Understand,SP_SE,Sense Perception — to See,SP_LO,Sense Perception — to Look,YES,
PDR682,*kār-,to gnaw,3-llm-alone,BP_BI,Body Parts & Functions — to Bite,FD_EA,Food & Drink — to Eat,TI_FI,Time — to Finish,FD_SU,"Food & Drink — to Suck, Suckle",,
